Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201297AB00407,258770,665570,-4.258229,55.862602,97,3,2,1,12-Jul-12,5,18:00:00,926,S12000043,6,0,2,30,6,2,6,0,0,0,1,1,1,0,0,1,1,
201297AB00411,259310,664870,-4.249244,55.856476,97,3,2,1,05-Nov-12,2,14:40:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,5,1,1,1,4,0,1,1,
201297AB00412,259780,666180,-4.24242,55.868374,97,3,1,1,03-Dec-12,2,16:45:00,926,S12000043,3,804,6,30,3,4,6,0,0,0,4,2,4,0,0,1,1,
201297AB00503,259170,665820,-4.251973,55.864964,97,3,1,1,03-Mar-12,7,17:00:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,0,1,2,2,0,2,1,1,
201297AB00505,258910,665660,-4.25604,55.863451,97,3,1,1,03-May-12,5,13:20:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,2,
201297AB00601,258580,665150,-4.261043,55.858776,97,3,1,1,07-Jan-12,7,00:10:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,4,2,2,0,0,1,1,
201297AB00608,259010,666160,-4.254704,55.86797,97,3,2,2,09-Aug-12,5,19:25:00,926,S12000043,6,0,6,30,6,2,6,0,0,4,1,1,1,0,0,1,1,
201297AB00609,258720,665320,-4.258896,55.860343,97,3,1,1,12-Sep-12,4,21:55:00,926,S12000043,6,0,2,30,3,2,6,0,0,5,4,1,1,0,0,1,1,
201297AB00612,258960,665860,-4.255346,55.865262,97,3,1,1,05-Dec-12,4,07:40:00,926,S12000043,6,0,6,30,7,2,6,0,0,5,4,1,2,0,0,1,1,
201297AB00708,258590,665700,-4.26117,55.863717,97,1,1,1,10-Aug-12,6,11:15:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
201297AB00709,258830,665790,-4.257385,55.864595,97,3,1,1,12-Sep-12,4,17:40:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,2,
201297AB00710,258840,665340,-4.256991,55.860558,97,2,1,2,05-Oct-12,6,13:30:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,2,
201297AB00711,258670,664900,-4.259476,55.856558,97,2,2,1,06-Nov-12,3,14:00:00,926,S12000043,6,0,3,30,3,2,6,0,0,4,1,8,2,0,0,1,2,
201297AB00712,260120,665480,-4.236629,55.862188,97,2,1,1,06-Dec-12,5,06:55:00,926,S12000043,3,8,3,30,3,2,6,0,0,5,4,2,2,0,0,1,1,
201297AB00802,258160,665950,-4.268166,55.865835,97,2,1,1,05-Feb-12,1,02:00:00,926,S12000043,6,0,6,30,3,4,6,0,0,4,4,1,2,0,0,1,1,
201297AB00804,258950,665420,-4.255277,55.861308,97,3,2,1,10-Apr-12,3,13:20:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,1,
201297AB00807,258850,665860,-4.257102,55.86523,97,3,2,1,01-Jul-12,1,21:05:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,
201297AB00809,260110,665650,-4.236877,55.863712,97,3,2,1,07-Sep-12,6,10:30:00,926,S12000043,6,0,6,30,7,4,6,0,0,4,1,1,2,0,0,1,2,
201297AB00811,259000,665860,-4.254708,55.865273,97,3,1,1,07-Nov-12,4,07:50:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,
201297AB00812,259040,665830,-4.254053,55.865016,97,2,1,1,06-Dec-12,5,15:50:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,4,2,2,0,0,1,1,
201297AB00905,259430,664950,-4.24737,55.857229,97,3,2,1,08-May-12,3,13:20:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,
201297AB00906,258830,665250,-4.257104,55.859747,97,3,1,1,08-Jun-12,6,16:15:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,
201297AB00907,259100,665050,-4.25269,55.85803,97,2,1,1,02-Jul-12,2,10:15:00,926,S12000043,6,0,2,30,9,4,6,0,0,5,1,2,2,0,0,1,1,
201297AB00908,259230,664910,-4.250542,55.856811,97,3,2,1,12-Aug-12,1,16:35:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,
201297AB00912,259350,665730,-4.249052,55.864209,97,2,1,1,06-Dec-12,5,18:25:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,4,5,2,2,0,0,1,1,
201297AB01002,259340,665780,-4.249238,55.864655,97,2,1,1,08-Feb-12,4,17:30:00,926,S12000043,6,0,6,30,3,4,6,0,0,5,4,1,2,0,0,1,1,
201297AB01008,259150,666190,-4.252484,55.86828,97,3,2,1,13-Aug-12,2,07:30:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,2,
201297AB01009,259130,665480,-4.252434,55.8619,97,3,2,1,16-Sep-12,1,18:45:00,926,S12000043,6,0,2,30,3,4,6,0,2,5,1,1,1,0,0,1,1,
201297AB01010,258690,665580,-4.259511,55.862669,97,3,1,1,10-Oct-12,4,22:15:00,926,S12000043,6,0,2,30,6,4,6,0,0,0,4,1,1,0,0,1,1,
201297AB01011,258890,666030,-4.256552,55.866768,97,3,2,1,07-Nov-12,4,23:40:00,926,S12000043,6,0,2,30,3,2,6,0,0,4,4,2,2,0,0,1,1,
